CODI;NOM_OFICIAL
048801;Carrer de Briquets
048903;Baixada de Briz
049101;Carrer dels Brocaters
049203;Carrer del Bronze
049305;Carrer de Brossa
049407;Carrer del Brosolí
049509;Carrer del Bruc
049600;Plaça de Brugada
049702;Carrer de Bruguera
049757;Carrer del Brull
050009;Carrer de Bruniquer
050100;Carrer de Brussel·les
050202;Carrer de Brusi
050304;Carrer de Gabriel Ferrater
050600;Carrer del Bon Pastor
050803;Carrer de Buenaventura Muñoz
050905;Carrer de Ventura Plaja
051001;Carrer de Bonaventura Pollés
051103;Carrer de Bonavista
051169;Passatge de Bonavista
051205;Carrer de Buenos Aires
051307;Carrer del Bonsuccés
051409;Plaça del Bonsuccés
051500;Carrer de Buïgas
051704;Carrer de Bunyola
051806;Carrer de Bordeus
051908;Carrer de Burgos
052004;Carrer de Borriana
052106;Passatge de Burrull
052208;Carrer de Buscarons
052401;Carrer de Buxó
052423;Carrer C Zona Franca
052503;Plaça de Caba
052605;Carrer de Caballero
052707;Carrer dels Cavallers
052900;Carrer de Cabanes
053007;Carrer del Cabanyal
053109;Carrer de Cabestany
053200;Carrer de les Cabres
053302;Carrer de Cabrera
053506;Carrer de Càceres
053608;Carrer de Cadaqués
053801;Camí de la Cadena
054000;Carrer del Cadí
054101;Carrer de Cadis
054305;Carrer de Queixans
054407;Carrer del Caire
054451;Passatge de la Caixa d'Estalvis
054509;Carrer de Calàbria
054600;Carrer de Calaf
054702;Passatge de Calafell
054804;Carrer de les Calàndries
054906;Carrer de Calatrava
055002;Carrer de Calderón de la Barca
055104;Carrer de Calders
055206;Carrer de Calella
055308;Carrer de Calendau
055501;Passeig de Calvell
055603;Carrer de Calvet
055705;Plaça de Calvó
055807;Plaça de Francesc Macià
055909;Carrer del Call
056005;Carrer del Callao
056107;Carrer de Càller
056129;Carrer de Camarasa
056209;Carrer dels Canvis Nous
056300;Carrer dels Canvis Vells
056402;Carrer de Cambrils
056504;Carrer de les Camèlies
056606;Passatge de les Camèlies
056708;Carrer de Camil Fabra
056800;Carrer de Camil Oliveras
057008;Passatge del Caminal
057100;Carrer de Camós
057201;Carrer del Camp
057303;Plaça del Camp
057507;Carrer de Campeny
057609;Carrer de Campins
057700;Passatge del Camp
057802;Carrer del Camp Arriassa
057904;Carrer de Campo Florido
058000;Carrer del Camp d'en Vidal
058102;Carrer de Campoamor
058204;Passatge dels Camps Elisis
058306;Carrer de Campreciós
058408;Carrer de Camprodon
058500;Carrer de Camps i Fabrés
058521;Carrer Can Balasch
058532;Camí de Can Balasch
058543;Carrer de Can Basseda
058554;Carrer de Can Bruixa
058598;Camí de Can Castellví
058601;Carrer de Can Caralleu
058612;Carrer de Can Clos
058634;Camí de Can Clos
058747;Camí de Can Pasqual
058780;Camí del Mas Sauró
058907;Carrer de Canaan
