"""CODI"""	"""NOM_OFICIAL"""
80203	Carrer de la Ciutat de Balaguer
80258	Carrer de la Ciutat d'Elx
80305	Carrer de Ciudad Real
80327	Ciutat Sanitaria Vall d'Hebron
80407	Passatge dels Ciutadans
80509	Carrer de Ciutadella
80600	Plaça de Ciutadella
80702	Carrer de Siurana
80804	Carrer del Civader
80906	Carrer de Clarà
80950	Carrer de Clarà Ayats
81002	Carrer de Claramunt
81104	Carrer de Claravall
81206	Carrer de Clariana
81308	Passeig de Claudi Güell
81400	Carrer de Claudi Sabadell
81501	Carrer del Clavell
81534	Passatge de Clip
81603	Carrer del Clot
81807	Carrer de Clotés
81909	Carrer del Cobalt
82107	Carrer dels Còdols
82209	Passatge de Coello
82300	Carrer de Coïmbra
82333	Colegio Menéndez Pidal
82402	Carrer de Colòmbia
82504	Passatge de Colomer
82606	Carrer de Colomines
82708	Passatge dels Coloms
82800	Carrer de Colom
82901	Passeig de Colom
83008	Carrer de Colònia
83201	Carrer de la Colònia del Tibidabo
83303	Carrer de Coll
83405	Camí Vell del Coll
83507	Passatge de Coll
83609	Avinguda del Coll del Portell
83700	Passatge del Coll del Portell
83802	Pas del Coll del Portell
83904	Carrer de Coll i Vehí
84102	Carrer de Collblanc
84306	Carrer de Collserola
84500	Carrer de Collegats
84601	Carrer de Comalada
84703	Carrer del Comandant Benítez
84805	Carrer del Comandant Llança
84907	Plaça de Comas
85003	Passatge de Comas d'Argemí
85105	Baixada de la Combinació
85207	Carrer Comercial
85309	Plaça Comercial
85400	Carrer del Comerç
85502	Plaça del Comerç
85604	Placeta del Comerç
85706	Carrer del Cometa
85808	Passatge de la Companyia
85900	Carrer de la Conca de Tremp
86006	Passatge de la Concepció
86108	Carrer de Concepción Arenal
86200	Carrer del Concili de Trento
86301	Carrer de la Concòrdia
86403	Plaça de la Concòrdia
86607	Carrer de Conxita Supervia
86800	Carrer Comtal
86902	Carrer Nou de la Rambla
87009	Carrer del Comte Borrell
87100	Carrer del Comte de Güell
87202	Carrer del Comte de Noroña
87304	Carrer del Comte de Salvatierra
87406	Carrer del Comte de Santa Clara
87508	Carrer del Comte de Sert
87600	Plaça del Comte de Sert
87701	Carrer del Comte Tallaferro
87905	Carrer dels Comtes
88001	Carrer dels Comtes de Bell-lloc
88103	Carrer de la Comtessa de Pardo Bazán
88205	Carrer de la Comtessa de Sobradiel
88453	Carrer del Conflent
88500	Carrer del Congost
88602	Carrer del Congrés
88704	Plaça del Congrés Eucarístic
88908	Carrer de la Conreria
89004	Carrer del Consell de Cent
89106	Carrer dels Consellers
89208	Carrer dels Consorts Sans Bernet
89252	Consorci de la Zona Franca
89300	Passatge de la Constància
89401	Carrer de Constantí
89503	Carrer de Constantinoble
89605	Carrer de Constança
89707	Carrer de la Constitució
89809	Carrer del Consolat de Mar
89900	Carrer del Conveni
90105	Carrer de Copèrnic
90207	Carrer d'en Copons
90309	Passatge de Conradí
90400	Carrer de les Alberes
90502	Carrer de Còrsega
90604	Passatge de Còrsega
90900	Carrer dels Corders
91006	Carrer de Còrdova
91108	Carrer de Corint
91200	Carrer de Cornet i Mas
91301	Carrer de Cornudella
91403	Carrer de Coroleu
91607	Carrer del Coronel Sanfeliu
91709	Carrer del Corral
91800	Carrer del Correu Vell
91902	Carrer de Corretger
92009	Carrer de Corçà
92100	Carrer Curt
92202	Carrer dels Cortada
92406	Carrer d'en Cortines
92508	Carrer de Cortit
92600	Carrer de les Corts
92701	Carrer de la Corunya
92803	Carrer de Pere Costa
92905	Passatge de Costa
92938	Carrer de la Costa Brava
92950	Carrer de Costabona
92971	Carrer de la Costa Daurada
